id,latitude,longitude,common_name,new_name
155380366,38.4502333333,-122.6464305556,Blue Dicks,Blue dick
153851595,36.6816466667,-121.7708966667,Blue Dicks,Blue dick
155374128,36.6226177005,-121.6951118257,Blue Dicks,Blue dick
155374280,39.60912382,-121.56160081,Blue Dicks,Blue dick
153263132,32.919517595,-117.2540101033,Blue Dicks,Blue dick
155440099,37.9118226359,-122.490623948,Blue Dicks,Blue dick
153975770,36.654435,-121.7572116667,Blue Dicks,Blue dick
153814111,35.3431083333,-120.6298833333,Blue Dicks,Blue dick
155475588,37.765045,-122.43848,Blue Dicks,Blue dick
153288799,37.50557,-121.815545,Blue Dicks,Blue dick
153951069,38.7801095469,-121.3527680621,Blue Dicks,Blue dick
153892181,34.0032361167,-116.6161716667,Blue Dicks,Blue dick
155338929,35.2712466667,-119.825475,Blue Dicks,Blue dick
155289212,32.8222611111,-117.0756138889,Blue Dicks,Blue dick
155288715,32.7923388889,-117.0610888889,Blue Dicks,Blue dick
155288706,32.7923583333,-117.0611277778,Blue Dicks,Blue dick
153869247,37.4691383333,-122.2779833333,Blue Dicks,Blue dick
155413080,34.191925,-118.887695,Blue Dicks,Blue dick
155422045,36.65797,-121.0912388333,Blue Dicks,Blue dick
155412816,32.6071095741,-116.6945247638,Blue Dicks,Blue dick
155412810,32.6071079986,-116.6945251226,Blue Dicks,Blue dick
154000940,37.4594333333,-122.286025,Blue Dicks,Blue dick
155341241,37.1915033333,-121.843475,Blue Dicks,Blue dick
155380023,38.4497416667,-122.6452638889,Blue Dicks,Blue dick
155409167,32.8554947285,-117.1880904706,Blue Dicks,Blue dick
155287697,34.3024604,-119.24889555,Blue Dicks,Blue dick
153894145,34.00316945,-116.6161333333,Blue Dicks,Blue dick
153895044,33.7407833333,-118.3477783333,Blue Dicks,Blue dick
155423451,34.2246466667,-118.17965,Blue Dicks,Blue dick
155424030,33.7481529839,-117.5469361991,Blue Dicks,Blue dick
155424233,35.4632545219,-120.333932136,Blue Dicks,Blue dick
155287260,37.9987141062,-121.9284201052,Blue Dicks,Blue dick
155344521,38.2733383333,-121.8263333333,Blue Dicks,Blue dick
153992358,33.9211438837,-117.6952768189,Blue Dicks,Blue dick
153284352,34.0842278333,-118.8468166667,Blue Dicks,Blue dick
155346526,38.6187042999,-121.3084954198,Blue Dicks,Blue dick
153844366,34.0127,-116.626695,Blue Dicks,Blue dick
154002446,38.4065737711,-122.4894978908,Blue Dicks,Blue dick
155337927,37.80879231,-122.36565411,Blue Dicks,Blue dick
153998806,37.91191781,-122.49123351,Blue Dicks,Blue dick
155336733,37.4696466667,-122.2765633333,Blue Dicks,Blue dick
153996383,32.543548584,-117.1041564941,Blue Dicks,Blue dick
153994570,33.7762374,-117.742219142,Blue Dicks,Blue dick
153243774,34.0912471667,-119.0249028333,Blue Dicks,Blue dick
155326198,38.4264194444,-122.6442111111,Blue Dicks,Blue dick
155327291,34.0376888333,-119.5673916667,Blue Dicks,Blue dick
155327818,36.5021527778,-121.2012111111,Blue Dicks,Blue dick
155414479,37.1737893292,-121.8687240779,Blue Dicks,Blue dick
155294840,34.0029638889,-120.054925,Blue Dicks,Blue dick
153243059,33.6263878146,-117.2756483891,Blue Dicks,Blue dick
153886361,34.0027849645,-116.615713851,Blue Dicks,Blue dick
155331659,38.54789,-121.273855,Blue Dicks,Blue dick
155292323,33.6748383333,-117.6417916667,Blue Dicks,Blue dick
155292032,36.655005,-121.75798,Blue Dicks,Blue dick
153281342,38.27472,-121.82492,Blue Dicks,Blue dick
